"Fifty Shades of Grey (Fifty Shades, #1)",Ana Anastasia,Anastasia Grey,Grey Trilogy,this Ana Anastasia,The Anastasia Grey,a Grey Trilogy,Ana,Anastasia,Grey,reserve,entrepreneur,interview,,,
The Alchemist,Santiago,Paulo,Coelho,Santiago Paulo,Paulo Coelho,Coelho Santiago,an Santiago Paulo,the Paulo Coelho,a Coelho Santiago,an Santiago along Paulo,the Paulo of Coelho,a Coelho in Santiago,shepherd,treasure,opportunity
"The Giver (The Giver, #1)",Receiver Jonas,Jonas Receiver,this Receiver Jonas,the Jonas Receiver,assignment,community,dark,Receiver,Jonas,,,,,,
"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",Peter and Susan Aslan,Aslan Narnia,Narnia Edmund,the Peter and Susan Aslan,a Aslan Narnia,the Narnia Edmund,wardrobe,enchantment,frozen,Peter and Susan,Aslan,Narnia,,,
The Time Traveler's Wife,Niffenegger Clare,Clare Highly,Highly Traveler,neither Niffenegger Clare,All Clare Highly,each Highly Traveler,Disorder,gravity,librarian,Niffenegger,Clare,Highly,,,
"A Game of Thrones (A Song of Ice and Fire, #1)",Clash Winterfell,Winterfell Swords,Swords Starks,these Clash Winterfell,any Winterfell Swords,each Swords Starks,summertime,unyielding,metal,Clash,Winterfell,Swords,,,
"Eat, Pray, Love",Bali Pray,Pray Eat,Eat Gilbert,An Bali Pray,another Pray Eat,an Eat Gilbert,Bali,Pray,Eat,eradication,imitation,enjoyment,,,
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Athena Poseidon,Poseidon Half,Half Jackson,this Athena Poseidon,a Poseidon Half,the Half Jackson,friends?îone,satyr,schoolwork,Athena,Poseidon,Half,,,
"Little Women (Little Women, #1)",Alcott Louisa,Louisa Hawthorne,Hawthorne Thoreau,each Alcott Louisa,no Louisa Hawthorne,the Hawthorne Thoreau,sewing,abolitionist,laundry,Alcott,Louisa,Hawthorne,,,
Jane Eyre,Thornfield Rochester,Rochester Hall,Hall Hard,an Thornfield Rochester,a Rochester Hall,the Hall Hard,an Thornfield,a Rochester,the Hall,senza,tempo,qui,,,
"The Notebook (The Notebook, #1)",Calhoun Notebook,Notebook Sparks,Sparks Southerner,another Calhoun Notebook,An Notebook Sparks,A Sparks Southerner,lap,notebook,gulf,Calhoun,Notebook,Sparks,,,
Life of Pi,Pondicherry,Bengal,Pondicherry Pi,Pi Bengal,Bengal Ocean,an Pondicherry Pi,The Pi Bengal,a Bengal Ocean,an Pondicherry while Pi,The Pi after Bengal,a Bengal from Ocean,practicality,spirituality,shipwreck,
Water for Elephants,Jankowski BookBrowse,BookBrowse Lessons,Lessons Elephants,A Jankowski BookBrowse,a BookBrowse Lessons,an Lessons Elephants,Jankowski,BookBrowse,Lessons,menagerie,circa,circus,,,
The Book Thief,Liesel Handbook,Handbook Zusak,Zusak Markus,these Liesel Handbook,both Handbook Zusak,The Zusak Markus,Liesel,Handbook,Zusak,mayor,foster,snow,,,
"New Moon (Twilight, #2)",NIGHTMARES Whole,Whole THOSE,THOSE TERRIFYING,any NIGHTMARES Whole,another Whole THOSE,both THOSE TERRIFYING,NIGHTMARES,Whole,THOSE,,,,,,
Where the Sidewalk Ends,Cheap Giving,Giving Sidewalk,Sidewalk Silverstein,these Cheap Giving,both Giving Sidewalk,This Sidewalk Silverstein,commemorative,sticker,garbage,Cheap,Giving,Sidewalk,,,
"City of Bones (The Mortal Instruments, #1)",Pandemonium Fray,Fray Clary,Clary Sight,This Pandemonium Fray,a Fray Clary,an Clary Sight,Pandemonium,Fray,Clary,,,,,,
"Eclipse (Twilight, #3)",BELLA Stephenie,Stephenie Eclipse,Eclipse Edward,all BELLA Stephenie,an Stephenie Eclipse,the Eclipse Edward,BELLA,Stephenie,Eclipse,,,,,,
"Eragon (The Inheritance Cycle, #1)",Eragon Riders,Riders Empire,Empire Dragon,An Eragon Riders,no Riders Empire,an Empire Dragon,mantle,meat,fledgling,Eragon,Riders,Empire,,,
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Voojagig Tricia,Tricia Zaphod,Zaphod Trillian,A Voojagig Tricia,an Tricia Zaphod,The Zaphod Trillian,freeway,hitchhiker,towel,Voojagig,Tricia,Zaphod,,,
Brave New World,Aldous Huxley,Huxley Brave,Brave State,an Aldous Huxley,a Huxley Brave,the Brave State,manipulation,conditioning,hierarchy,Aldous,Huxley,Brave,,,
"Breaking Dawn (Twilight, #4)",OPTIONS LEFT,LEFT VAMPIRE,VAMPIRE BELLA,either OPTIONS LEFT,another LEFT VAMPIRE,every VAMPIRE BELLA,OPTIONS,LEFT,VAMPIRE,,,,,,
The Secret Life of Bees,Bees Owens,Owens Lily,Lily Carolina,both Bees Owens,This Owens Lily,an Lily Carolina,beekeeping,honey,divine,Bees,Owens,Lily,,,
The Adventures of Huckleberry Finn,Sawyer River,River Mississippi,Mississippi Tom,A Sawyer River,a River Mississippi,the Mississippi Tom,feud,royalty,river,Sawyer,River,Mississippi,,,
Charlotte's Web,Wilbur Zuckerman,Zuckerman Pig,Pig Radiant,Some Wilbur Zuckerman,These Zuckerman Pig,This Pig Radiant,spiderweb,barn,pig,Wilbur,Zuckerman,Pig,,,
The Curious Incident of the Dog in the Night-Time,Boone,Wellington,Christopher,Boone Wellington,Wellington Christopher,Christopher Francis,every Boone Wellington,no Wellington Christopher,a Christopher Francis,every Boone,no Wellington,a Christopher,diagram,blessing,pocket
The Girl on the Train,Jess Rachel,Rachel ISBN,ISBN Jason,An Jess Rachel,each Rachel ISBN,every ISBN Jason,An Jess,each Rachel,every ISBN,commuter,afar,row,,,
"The Golden Compass (His Dark Materials, #1)",Asriel Lyra,Lyra Roger,Roger North,This Asriel Lyra,a Lyra Roger,the Roger North,schemer,liar,champion,Asriel,Lyra,Roger,,,
Wuthering Heights,Daley Nussbaum,Nussbaum Heights,Heights Chronology,the Daley Nussbaum,this Nussbaum Heights,The Heights Chronology,Daley,Nussbaum,Heights,romanticism,reviews,chronology,,,
My Sister's Keeper,Kate?îa Sister,Sister Keeper,Keeper Anna,some Kate?îa Sister,all Sister Keeper,The Keeper Anna,marrow,leukemia,diagnosis,Kate?îa,Sister,Keeper,,,
Slaughterhouse-Five,Pilgrim Modern,Modern Dresden,Dresden Billy,all Pilgrim Modern,an Modern Dresden,the Dresden Billy,firebombing,odyssey,meaning,Pilgrim,Modern,Dresden,,,
Gone with the Wind,Sherman O'Hara,O'Hara Scarlett,Scarlett Georgia,every Sherman O'Hara,the O'Hara Scarlett,a Scarlett Georgia,Sherman,O'Hara,Scarlett,disposal,plantation,poverty,,,
A Thousand Splendid Suns,Suns Splendid,Splendid Thousand,Thousand Kite,A Suns Splendid,an Splendid Thousand,this Thousand Kite,lives?îthe,love?îa,flap,,,,,,
The Perks of Being a Wallflower,Chbosky Perks,Perks Picture,Picture Rocky,All Chbosky Perks,those Perks Picture,The Picture Rocky,passivity,coaster,roller,Chbosky,Perks,Picture,,,
"Insurgent (Divergent, #2)",Divergence DIVERGENT,DIVERGENT Prior,Prior Tris,those Divergence DIVERGENT,another DIVERGENT Prior,every Prior Tris,hallmark,initiation,faction,Divergence,DIVERGENT,Prior,,,
"Ender's Game (Ender's Saga, #1)",Buggers Wiggin,Wiggin Ender,Ender Valentine,these Buggers Wiggin,every Wiggin Ender,all Ender Valentine,capability,experimentation,anonymity,Buggers,Wiggin,Ender,,,
Frankenstein,Frankenstein Shelley,Shelley Gothic,Gothic Nature,these Frankenstein Shelley,each Shelley Gothic,an Gothic Nature,animation,cosmos,ancestor,Shelley,Gothic,,,,
The Shining (The Shining #1),Overlook,Torrance,Hotel,Overlook Torrance,Torrance Hotel,Hotel Danny,the Overlook Torrance,a Torrance Hotel,the Hotel Danny,the Overlook,a Torrance,the Hotel,caretaker,location,weather
"The Host (The Host, #1)",Wanderer Melanie,Melanie ACE,ACE Editions,both Wanderer Melanie,this Melanie ACE,The ACE Editions,tenant,possession,hiding,Wanderer,Melanie,ACE,,,
Looking for Alaska,Pudge Halter,Halter Rabelais,Rabelais Culver,an Pudge Halter,The Halter Rabelais,the Rabelais Culver,unto,hall,opposite,Pudge,Halter,Rabelais,,,
"Bridget Jones's Diary (Bridget Jones, #1)",Singleton Bridget,Bridget Inner,Inner Poise,each Singleton Bridget,a Bridget Inner,the Inner Poise,lbs,sandwich,lottery,Singleton,Bridget,Inner,,,
Sense and Sensibility,Dashwood Willoughby,Willoughby Elinor,Elinor Tanner,those Dashwood Willoughby,the Willoughby Elinor,a Elinor Tanner,convention,love?îand,sensibility,Dashwood,Willoughby,Elinor,,,
"Holes (Holes, #1)",Stanley Camp,Camp Lake,Lake Green,every Stanley Camp,this Camp Lake,A Lake Green,improvement,warden,detention,Stanley,Camp,Lake,,,
"The Devil Wears Prada (The Devil Wears Prada, #1)",Armani DEVIL,DEVIL Andrea,Andrea Boss,every Armani DEVIL,each DEVIL Andrea,these Andrea Boss,recommendation,temperature,columns,Armani,DEVIL,Andrea,,,
The Odyssey,Fagles Muse,Muse Odyssey,Odyssey Ithaca,an Fagles Muse,the Muse Odyssey,a Odyssey Ithaca,idiom,aloud,divine,Fagles,Muse,Odyssey,,,
The Little Prince,Prince Earth,Earth Prince,The Prince Earth,a Earth Prince,allegory,autobiography,charm,Prince,Earth,,,,,,
The Glass Castle,Hers Walls,Walls Jeannette,Jeannette Rex,another Hers Walls,both Walls Jeannette,all Jeannette Rex,nonconformity,geology,dysfunction,,,,,,
Into the Wild,McCandless Supertramp,Supertramp Muir,Muir McKinley,An McCandless Supertramp,those Supertramp Muir,a Muir McKinley,McCandless,Supertramp,Muir,wallet,license,charity,,,
A Tale of Two Cities,Bastille Reign,Reign Terror,Terror Manette,an Bastille Reign,the Reign Terror,a Terror Manette,Bastille,Reign,Terror,vengeful,aristocrat,height,,,
The Giving Tree,Shel Silverstein,Silverstein Shel,another Shel Silverstein,all Silverstein Shel,consolation,interpretation,tree,Shel,Silverstein,,,,,,
A Time to Kill,Brigance Clanton,Clanton Brief,Brief Grisham,The Brigance Clanton,this Clanton Brief,an Brief Grisham,The Brigance,this Clanton,an Brief,Firm,rifle,remorseless,,,
Night (The Night Trilogy #1),Elie Wiesel,Wiesel Jew,Jew Marion,This Elie Wiesel,this Wiesel Jew,the Jew Marion,Elie,Wiesel,Jew,translator,testimony,concentration,,,
Paper Towns,Spiegelman Q,Q Margo,Margo Quentin,an Spiegelman Q,that Q Margo,a Margo Quentin,afar,climbs,enigma,Spiegelman,Margo,,,,
The Princess Bride ,Goldman Harsh,Harsh Lots,Lots Monstrous,Some Goldman Harsh,all Harsh Lots,The Lots Monstrous,wise,prince,lot,Goldman,Harsh,Lots,,,
The Outsiders,Ponyboy Curtis,Curtis Johnny,Johnny /,This Ponyboy Curtis,A Curtis Johnny,The Johnny /,socs,soc,greaser,Ponyboy,Curtis,Johnny,,,
"The Maze Runner (Maze Runner, #1)",Glade Nice,Nice ASIN,ASIN Remember,no Glade Nice,this Nice ASIN,The ASIN Remember,limitless,lift,maze,Glade,Nice,ASIN,,,
The Secret Garden,Burnett Hodgson,Hodgson Craven,Craven Fauntleroy,both Burnett Hodgson,The Hodgson Craven,every Craven Fauntleroy,cholera,rude,spirituality,Burnett,Hodgson,Craven,,,
One Hundred Years of Solitude,The,the,love?îin,solitude,realism,,,,,,,,,,
The Picture of Dorian Gray,Hallward Basil,Basil Wilde,Wilde Oscar,The Hallward Basil,a Basil Wilde,the Wilde Oscar,disintegration,dilemma,imprisonment,Hallward,Basil,Wilde,,,
"Fifty Shades Freed (Fifty Shades, #3)",Shocked Ana,Ana Anastasia,Anastasia Shades,neither Shocked Ana,any Ana Anastasia,both Anastasia Shades,entrepreneur,malice,conspire,Shocked,Ana,Anastasia,,,
Dracula,Contexts Dracula,Dracula Phyllis,Phyllis Bram,both Contexts Dracula,this Dracula Phyllis,an Phyllis Bram,Bibliography,reviews,theater,Contexts,Phyllis,,,,
"The Girl Who Played with Fire (Millennium, #2)",Salander Mikael,Mikael Millennium,Millennium Blomkvist,an Salander Mikael,The Mikael Millennium,the Millennium Blomkvist,an Salander,The Mikael,the Millennium,expos√©,trafficking,hacker,,,
"Fifty Shades Darker (Fifty Shades, #2)",Anastasia Erotic,Erotic Fifty,Fifty Shades,every Anastasia Erotic,the Erotic Fifty,a Fifty Shades,arrangement,entrepreneur,envy,Anastasia,Erotic,Fifty,,,
The Poisonwood Bible,family and mission Scripture,Scripture Baptist,Baptist Congo,all family and mission Scripture,The Scripture Baptist,a Baptist Congo,undoing,reconstruction,soil,,,,,,
Me Talk Pretty One Day,Rooster Kill,Kill Sedaris,Sedaris Paris,these Rooster Kill,another Kill Sedaris,every Sedaris Paris,slang,response,restaurant,,,,,,
Where the Wild Things Are,Wild Things,Things Max,Max Wild,a Wild Things,the Things Max,a Max Wild,supper,room,king,Wild,Things,Max,,,
The Count of Monte Cristo,Dantes Cristo,Cristo Edmond,Edmond Monte,This Dantes Cristo,an Cristo Edmond,a Edmond Monte,Dantes,Cristo,Edmond,incarceration,hoard,fortress,,,
The Road,Awesome Cormac,Cormac McCarthy,McCarthy Road,each Awesome Cormac,no Cormac McCarthy,A McCarthy Road,cart,pistol,tenacity,Awesome,Cormac,McCarthy,,,
"Allegiant (Divergent, #3)",DIVERGENT Tris,Tris Prior,Prior Tobias,those DIVERGENT Tris,The Tris Prior,the Prior Tobias,meaningless,fence,allegiance,DIVERGENT,Tris,Prior,,,
Bossypants,Fey Lemon,Lemon Update,Update Weekend,these Fey Lemon,both Lemon Update,all Update Weekend,Fey,Lemon,Update,nerd,paragraph,gym,,,
A Walk to Remember,Beaufort Landon,Landon Baptist,Baptist Sparks,Every Beaufort Landon,each Landon Baptist,both Baptist Sparks,Beaufort,Landon,Baptist,lilacs,sweeter,wore,,,
"Confessions of a Shopaholic (Shopaholic, #1)",Successful Saving,Saving Bloomwood,Bloomwood Becky,those Successful Saving,any Saving Bloomwood,all Bloomwood Becky,Successful,Saving,Bloomwood,,,,,,
"A Clash of Kings  (A Song of Ice and Fire, #2)",Eddard Swords,Swords Thrones,Thrones Winterfell,these Eddard Swords,any Swords Thrones,A Thrones Winterfell,comet,masquerades,incest,Eddard,Swords,Thrones,,,
The Memory Keeper's Daughter,Norah Phoebe,Phoebe Syndrome,Syndrome Caroline,these Norah Phoebe,another Phoebe Syndrome,each Syndrome Caroline,ignorant,institution,blizzard,,,,,,
"Me Before You (Me Before You, #1)",Traynor Lou,Lou Me,Me Stars,an Traynor Lou,this Lou Me,The Me Stars,Fault,wheelchair,moody,Traynor,Lou,,,,
Catch-22,Yossarian Mediterranean,Mediterranean Forces,Forces Air,The Yossarian Mediterranean,the Mediterranean Forces,a Forces Air,occur,west,sanity,,,,,,
Tuesdays with Morrie,Morrie Albom,Albom Mitch,Mitch Schwartz,every Morrie Albom,this Albom Mitch,a Mitch Schwartz,every Morrie like Albom,this Albom For Mitch,a Mitch through Schwartz,colleague,mentor,advice,,,
Middlesex,Stephanides Middlesex,Middlesex Calliope,Calliope Pointe,an Stephanides Middlesex,the Middlesex Calliope,a Calliope Pointe,reinvention,glory,thrilling,,,,,,
The Adventures of Tom Sawyer,Twain Adventures,Adventures Sawyer,Sawyer Mississippi,An Twain Adventures,no Adventures Sawyer,The Sawyer Mississippi,racism,importance,satire,Twain,Adventures,Sawyer,,,
"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",O'Keefe Wrinkle,Wrinkle Quintet,Quintet Murry,this O'Keefe Wrinkle,a Wrinkle Quintet,the Quintet Murry,adventure?îone,stormy,visitor,O'Keefe,Wrinkle,Quintet,,,
The Joy Luck Club,Luck Tan,Tan Joy,Joy China,these Luck Tan,each Tan Joy,an Joy China,tightening,sensitivity,complexity,Luck,Tan,Joy,,,
The Handmaid's Tale,Handmaids Offred,Offred Handmaid,Handmaid Commander,all Handmaids Offred,an Offred Handmaid,The Handmaid Commander,pray,convincing,dire,Handmaids,Offred,Handmaid,,,
"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Lena and Bridget Tibby,Tibby Traveling,Traveling Sisterhood,all Lena and Bridget Tibby,the Tibby Traveling,a Traveling Sisterhood,thrift,sisterhood,vow,Lena and Bridget,Tibby,Traveling,,,
Lolita,Humbert Haze,Haze Lolita,Lolita Lo,all Humbert Haze,an Haze Lolita,the Lolita Lo,Humbert,Haze,landlady,delusion,silky,,,,
"The Firm (Penguin Readers, Level 5)",McDeere Memphis,Memphis Law,Law Harvard,a McDeere Memphis,the Memphis Law,a Law Harvard,a McDeere,the Memphis,a Law,tax,mob,graduate,,,
Room,Ma Room,Room Jack,Jack Told,another Ma Room,a Room Jack,the Jack Told,wardrobe,ingenuity,bravery,,,,,,
Hamlet,Hamlet Ravenscroft,Ravenscroft Kenneth,Kenneth Theatre,each Hamlet Ravenscroft,This Ravenscroft Kenneth,this Kenneth Theatre,Ravenscroft,Kenneth,association,jewel,recording,,,,
Dune (Dune Chronicles #1),Corrino Atreides,Atreides Arrakis,Arrakis Leto,each Corrino Atreides,the Atreides Arrakis,an Arrakis Leto,melange,ecology,Corrino,Atreides,Arrakis,,,,
Steve Jobs,Jobsa Isaacson,Isaacson Alberta,Alberta Apple,a Jobsa Isaacson,a Isaacson Alberta,a Jobsa IN Isaacson,a Isaacson IN Alberta,ponad,,,,,,,
One Flew Over the Cuckoo's Nest,McMurphy Nurse,Nurse Kesey,Kesey Oregon,an McMurphy Nurse,the Nurse Kesey,a Kesey Oregon,medication,ribald,trickster,McMurphy,Nurse,Kesey,,,
The Old Man and the Sea,Marlin Stream,Stream Cuban,Cuban Gulf,This Marlin Stream,the Stream Cuban,a Cuban Gulf,fisherman,literature,classic,Marlin,Stream,Cuban,,,
The Grapes of Wrath,Dust Steinbeck,Steinbeck Bowl,Bowl Depression,A Dust Steinbeck,the Steinbeck Bowl,an Bowl Depression,Dust,Steinbeck,Bowl,migration,gospel,equality,,,
The Five People You Meet in Heaven,Tuesdays Eddie,Eddie Morrie,Morrie Times,some Tuesdays Eddie,an Eddie Morrie,a Morrie Times,cart,meaningless,destination,Tuesdays,Eddie,Morrie,,,
"Anne of Green Gables (Anne of Green Gables, #1)",Cuthberts Gables,Gables Shirley,Shirley Anne,This Cuthberts Gables,an Gables Shirley,the Shirley Anne,farmhouse,orphanage,temper,Cuthberts,Gables,Shirley,,,
"City of Glass (The Mortal Instruments, #3)",Downworlders Shadowhunters,Shadowhunters Clary,Clary Law,all Downworlders Shadowhunters,this Shadowhunters Clary,the Clary Law,Downworlders,Shadowhunters,Clary,,,,,,
"A Storm of Swords (A Song of Ice and Fire, #3)",Stannis Clash,Clash Joffrey,Joffrey Kingdoms,An Stannis Clash,another Clash Joffrey,this Joffrey Kingdoms,outermost,isbn,horde,Stannis,Clash,Joffrey,,,
Divine Secrets of the Ya-Ya Sisterhood,Vivi Sidda,Sidda Devastated,Devastated Sisterhood,All Vivi Sidda,the Sidda Devastated,a Devastated Sisterhood,mementos,abuser,scrapbook,Vivi,Sidda,Devastated,,,
"Outlander (Outlander, #1)",Isles Scots,Scots Randall,Randall Fraser,a Isles Scots,The Scots Randall,the Randall Fraser,fidelity,honeymoon,border,Isles,Scots,Randall,,,
The Scarlet Letter,SCARLET LETTER,LETTER Hester,Hester Hawthorne,an SCARLET LETTER,the LETTER Hester,a Hester Hawthorne,SCARLET,LETTER,Hester,heritage,fiery,pride,,,
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Larsson Blomkvist,Blomkvist Stieg,Stieg Mikael,those Larsson Blomkvist,The Blomkvist Stieg,a Stieg Mikael,those Larsson,The Blomkvist,a Stieg,wound,unit,bullet,,,
The Martian,Mark Mars,Mars Mark,no Mark Mars,The Mars Mark,no Mark while Mars,The Mars against Mark,Mark,Mars,,,,,,,
"The Pillars of the Earth (The Kingsbridge Series, #1)",Pillars Kingsbridge,Kingsbridge Follett,Follett Movie,each Pillars Kingsbridge,every Kingsbridge Follett,the Follett Movie,Pillars,Kingsbridge,Follett,cathedral,stonemason,crude,,,
All the Light We Cannot See,Doerr Werner,Werner Pfennig,Pfennig Natural,An Doerr Werner,these Werner Pfennig,another Pfennig Natural,crude,citadel,mining,,,,,,
Deception Point,NASA Sexton,Sexton Arctic,Arctic Rachel,any NASA Sexton,A Sexton Arctic,all Arctic Rachel,any NASA,A Sexton,all Arctic,satellite,analyst,election,,,
The Goldfinch,Theo Avenue,Avenue Decker,Decker Yorker,an Theo Avenue,all Avenue Decker,a Decker Yorker,an Theo,all Avenue,a Decker,narrowing,labyrinth,philosopher,,,
Thirteen Reasons Why,Jensen Clay,Clay Hannah,Hannah Jensen,the Jensen Clay,a Clay Hannah,the Hannah Jensen,cassette,porch,firsthand,Jensen,Clay,Hannah,,,
Girl with a Pearl Earring,Griet Earring,Earring Vermeer,Vermeer Chevalier,this Griet Earring,a Earring Vermeer,The Vermeer Chevalier,Griet,Earring,Vermeer,enigmas,texture,fascination,,,
"If I Stay (If I Stay, #1)",Stay February,February Adam,Adam Mia,some Stay February,an February Adam,this Adam Mia,love?îmusic?îeven,drive,note,Stay,February,Adam,,,
The Red Tent,Dinah Tent,Tent Deeply,Deeply Jacob,this Dinah Tent,a Tent Deeply,an Deeply Jacob,detour,tent,dozen,,,,,,
